,NODELIST,CPUS,MEMORY,AVAIL_FEATURES,PARTITION,TOTAL_NODES,TOTAL_CPUS,MEMORY[GB/node],MEMORY[GB/cpu],NODE(Example),NodeName,Arch,CpuBind,CoresPerSocket,CPUAlloc,CPUEfctv,CPUTot,CPULoad,AvailableFeatures,ActiveFeatures,Gres,NodeAddr,NodeHostName,Version,OS,RealMemory,AllocMem,FreeMem,Sockets,Boards,State,ThreadsPerCore,TmpDisk,Weight,Owner,MCS_label,Partitions,BootTime,SlurmdStartTime,LastBusyTime,ResumeAfterTime,CfgTRES,AllocTRES,CurrentWatts,AveWatts,IB,CPU_MNF,CPU_GEN,CPU_SKU,CPU_FRQ,CLASS,GPU_GEN,GPU_BRD,GPU_SKU,GPU_MEM,GPU_CC
0,"sh02-06n[05-12,57-72],sh02-07n[01-03],sh02-08n[37-56],sh02-09n16,sh02-10n[01-04,41-60]",24,191000,"IB:EDR,CPU_MNF:INTEL,CPU_GEN:SKX,CPU_SKU:5118,CPU_FRQ:2.30GHz,NO_GPU",normal*,72,1728.0,186.5,7.77,sh02-06n05,sh02-06n05,x86_64,cores,12,23,24,24,17.49,"IB:EDR,CPU_MNF:INTEL,CPU_GEN:SKX,CPU_SKU:5118,CPU_FRQ:2.30GHz,NO_GPU","IB:EDR,CPU_MNF:INTEL,CPU_GEN:SKX,CPU_SKU:5118,CPU_FRQ:2.30GHz,NO_GPU",(null),sh02-06n05,sh02-06n05,25.11.5,Linux,191000,163840,149198,2,1,MIXED,1,190000,103181,N/A,N/A,normal,2026-01-27T17:05:35,2026-04-30T09:13:14,2026-04-27T07:41:40,None,"cpu=24,mem=191000M,billing=70","cpu=23,mem=160G",177,129,EDR,INTEL,SKX,5118,2.30GHz,,,,,,
1,"sh03-07n[61-64],sh03-08n[25-48]",32,256000,"IB:HDR,CPU_MNF:AMD,CPU_GEN:MLN,CPU_SKU:7543,CPU_FRQ:2.75GHz,NO_GPU,CLASS:SH3_CBASE.1",normal*,28,896.0,250.0,7.81,sh03-07n61,sh03-07n61,x86_64,cores,16,31,32,32,26.77,"IB:HDR,CPU_MNF:AMD,CPU_GEN:MLN,CPU_SKU:7543,CPU_FRQ:2.75GHz,NO_GPU,CLASS:SH3_CBASE.1","IB:HDR,CPU_MNF:AMD,CPU_GEN:MLN,CPU_SKU:7543,CPU_FRQ:2.75GHz,NO_GPU,CLASS:SH3_CBASE.1",(null),sh03-07n61,sh03-07n61,25.11.5,Linux,256000,231280,220655,2,1,MIXED,1,3000000,104361,N/A,N/A,normal,2026-01-27T16:12:52,2026-04-30T09:13:14,2026-05-03T11:43:06,None,"cpu=32,mem=250G,billing=94","cpu=31,mem=231280M",247,144,HDR,AMD,MLN,7543,2.75GHz,SH3_CBASE.1,,,,,
2,"sh02-01n[01-04,06-56],sh02-02n[41-44,46-48]",20,128000,"IB:EDR,CPU_MNF:INTEL,CPU_GEN:BDW,CPU_SKU:E5-2640v4,CPU_FRQ:2.40GHz,NO_GPU",normal*,62,1240.0,125.0,6.25,sh02-01n01,sh02-01n01,x86_64,cores,10,20,20,20,12.71,"IB:EDR,CPU_MNF:INTEL,CPU_GEN:BDW,CPU_SKU:E5-2640v4,CPU_FRQ:2.40GHz,NO_GPU","IB:EDR,CPU_MNF:INTEL,CPU_GEN:BDW,CPU_SKU:E5-2640v4,CPU_FRQ:2.40GHz,NO_GPU",(null),sh02-01n01,sh02-01n01,25.11.5,Linux,128000,99776,87289,2,1,ALLOCATED,1,120000,102091,N/A,N/A,normal,2026-01-27T16:39:22,2026-04-30T09:13:14,2026-04-21T11:23:08,None,"cpu=20,mem=125G,billing=51","cpu=20,mem=99776M",153,83,EDR,INTEL,BDW,E5-2640v4,2.40GHz,,,,,,
3,sh03-01n[01-70],32,256000,"IB:HDR,CPU_MNF:AMD,CPU_GEN:RME,CPU_SKU:7502,CPU_FRQ:2.50GHz,NO_GPU,CLASS:SH3_CBASE",normal*,70,2240.0,250.0,7.81,sh03-01n01,sh03-01n01,x86_64,cores,16,32,32,32,8.99,"IB:HDR,CPU_MNF:AMD,CPU_GEN:RME,CPU_SKU:7502,CPU_FRQ:2.50GHz,NO_GPU,CLASS:SH3_CBASE","IB:HDR,CPU_MNF:AMD,CPU_GEN:RME,CPU_SKU:7502,CPU_FRQ:2.50GHz,NO_GPU,CLASS:SH3_CBASE",(null),sh03-01n01,sh03-01n01,25.11.5,Linux,256000,179072,218958,2,1,ALLOCATED,1,1900000,104371,N/A,N/A,normal,2026-02-16T01:21:39,2026-04-30T09:13:14,2026-04-27T11:36:52,None,"cpu=32,mem=250G,billing=94","cpu=32,mem=179072M",115,103,HDR,AMD,RME,7502,2.50GHz,SH3_CBASE,,,,,
4,sh04-01n[14-15],64,384000,"IB:NDR,CPU_MNF:AMD,CPU_GEN:GEN,CPU_SKU:9384X,CPU_FRQ:3.10GHz,NO_GPU,CLASS:SH4_CPERF",normal*,2,128.0,375.0,5.86,sh04-01n14,sh04-01n14,x86_64,cores,16,64,64,64,58.72,"IB:NDR,CPU_MNF:AMD,CPU_GEN:GEN,CPU_SKU:9384X,CPU_FRQ:3.10GHz,NO_GPU,CLASS:SH4_CPERF","IB:NDR,CPU_MNF:AMD,CPU_GEN:GEN,CPU_SKU:9384X,CPU_FRQ:3.10GHz,NO_GPU,CLASS:SH4_CPERF",(null),sh04-01n14,sh04-01n14,25.11.5,Linux,384000,245760,236387,4,1,ALLOCATED,1,3500000,105741,N/A,N/A,normal,2026-01-27T17:12:56,2026-04-30T09:13:15,2026-05-04T10:48:30,None,"cpu=64,mem=375G,billing=157","cpu=64,mem=240G",884,851,NDR,AMD,GEN,9384X,3.10GHz,SH4_CPERF,,,,,
5,"sh04-01n[17-30],sh04-13n[29-32],sh04-14n[17-32]",24,192000,"IB:NDR,CPU_MNF:AMD,CPU_GEN:SIE,CPU_SKU:8224P,CPU_FRQ:2.55GHz,NO_GPU,CLASS:SH4_CBASE",normal*,34,816.0,187.5,7.81,sh04-01n17,sh04-01n17,x86_64,cores,24,24,24,24,12.26,"IB:NDR,CPU_MNF:AMD,CPU_GEN:SIE,CPU_SKU:8224P,CPU_FRQ:2.55GHz,NO_GPU,CLASS:SH4_CBASE","IB:NDR,CPU_MNF:AMD,CPU_GEN:SIE,CPU_SKU:8224P,CPU_FRQ:2.55GHz,NO_GPU,CLASS:SH4_CBASE",(null),sh04-01n17,sh04-01n17,25.11.5,Linux,192000,153168,127988,1,1,ALLOCATED,1,3500000,103141,N/A,N/A,normal,2026-02-01T15:10:10,2026-04-30T09:13:15,2026-04-16T17:46:15,None,"cpu=24,mem=187.50G,billing=70","cpu=24,mem=153168M",163,149,NDR,AMD,SIE,8224P,2.55GHz,SH4_CBASE,,,,,
6,sh02-09n[45-48],24,384000,"IB:EDR,CPU_MNF:INTEL,CPU_GEN:SKX,CPU_SKU:5118,CPU_FRQ:2.30GHz,NO_GPU",bigmem,4,96.0,375.0,15.62,sh02-09n45,sh02-09n45,x86_64,cores,12,16,24,24,0.06,"IB:EDR,CPU_MNF:INTEL,CPU_GEN:SKX,CPU_SKU:5118,CPU_FRQ:2.30GHz,NO_GPU","IB:EDR,CPU_MNF:INTEL,CPU_GEN:SKX,CPU_SKU:5118,CPU_FRQ:2.30GHz,NO_GPU",(null),sh02-09n45,sh02-09n45,25.11.5,Linux,384000,262144,262798,2,1,MIXED+PLANNED,1,190000,105181,N/A,N/A,bigmem,2026-01-27T16:13:51,2026-04-30T09:13:14,2026-05-04T11:18:28,None,"cpu=24,mem=375G,billing=117","cpu=16,mem=256G",127,126,EDR,INTEL,SKX,5118,2.30GHz,,,,,,
7,sh02-12n02,32,512000,"IB:EDR,CPU_MNF:INTEL,CPU_GEN:BDW,CPU_SKU:E5-2697Av4,CPU_FRQ:2.60GHz,NO_GPU",bigmem,1,32.0,500.0,15.62,sh02-12n02,sh02-12n02,x86_64,cores,16,5,32,32,0.04,"IB:EDR,CPU_MNF:INTEL,CPU_GEN:BDW,CPU_SKU:E5-2697Av4,CPU_FRQ:2.60GHz,NO_GPU","IB:EDR,CPU_MNF:INTEL,CPU_GEN:BDW,CPU_SKU:E5-2697Av4,CPU_FRQ:2.60GHz,NO_GPU",(null),sh02-12n02,sh02-12n02,25.11.5,Linux,512000,266240,314876,2,1,MIXED+PLANNED,1,160000,106391,N/A,N/A,bigmem,2026-05-03T00:24:05,2026-05-03T00:25:03,2026-05-04T11:00:54,None,"cpu=32,mem=500G,billing=157","cpu=5,mem=260G",124,119,EDR,INTEL,BDW,E5-2697Av4,2.60GHz,,,,,,
8,sh03-12n17,64,4096000,"IB:HDR,CPU_MNF:AMD,CPU_GEN:RME,CPU_SKU:7502,CPU_FRQ:2.50GHz,NO_GPU,CLASS:SH3_CBIGMEM",bigmem,1,64.0,4000.0,62.5,sh03-12n17,sh03-12n17,x86_64,cores,16,63,64,64,4.98,"IB:HDR,CPU_MNF:AMD,CPU_GEN:RME,CPU_SKU:7502,CPU_FRQ:2.50GHz,NO_GPU,CLASS:SH3_CBIGMEM","IB:HDR,CPU_MNF:AMD,CPU_GEN:RME,CPU_SKU:7502,CPU_FRQ:2.50GHz,NO_GPU,CLASS:SH3_CBIGMEM",(null),sh03-12n17,sh03-12n17,25.11.5,Linux,4096000,3883009,3996032,4,1,MIXED+PLANNED,1,3000000,109771,N/A,N/A,bigmem,2026-01-27T16:46:25,2026-04-30T09:13:15,2026-05-04T15:53:58,None,"cpu=64,mem=4000G,billing=1064","cpu=63,mem=3883009M",406,376,HDR,AMD,RME,7502,2.50GHz,SH3_CBIGMEM,,,,,
9,sh04-01n13,256,1536000,"IB:NDR,CPU_MNF:AMD,CPU_GEN:BGM,CPU_SKU:9754,CPU_FRQ:2.25GHz,NO_GPU,CLASS:SH4_CSCALE",bigmem,1,256.0,1500.0,5.86,sh04-01n13,sh04-01n13,x86_64,cores,64,186,256,256,85.01,"IB:NDR,CPU_MNF:AMD,CPU_GEN:BGM,CPU_SKU:9754,CPU_FRQ:2.25GHz,NO_GPU,CLASS:SH4_CSCALE","IB:NDR,CPU_MNF:AMD,CPU_GEN:BGM,CPU_SKU:9754,CPU_FRQ:2.25GHz,NO_GPU,CLASS:SH4_CSCALE",(null),sh04-01n13,sh04-01n13,25.11.5,Linux,1536000,1400832,831103,4,1,MIXED+PLANNED,1,7000000,107941,N/A,N/A,bigmem,2026-04-08T22:22:51,2026-04-30T09:13:15,2026-04-30T06:49:17,None,"cpu=256,mem=1500G,billing=631","cpu=186,mem=1368G",527,502,NDR,AMD,BGM,9754,2.25GHz,SH4_CSCALE,,,,,
