,NODE(Example),CLASS,PARTITION,Partitions,CPUS,TOTAL_NODES,TOTAL_CPUS,MEMORY[GB/node],MEMORY[GB/cpu],CPU_MNF,CPU_GEN,CPU_SKU,CPU_FRQ,GPU_SKU,GPU_MEM
0,sh02-06n05,,normal*,normal,24,72,1728.0,186.5,7.77,INTEL,SKX,5118,2.30GHz,,
1,sh03-07n61,SH3_CBASE.1,normal*,normal,32,28,896.0,250.0,7.81,AMD,MLN,7543,2.75GHz,,
2,sh02-01n01,,normal*,normal,20,62,1240.0,125.0,6.25,INTEL,BDW,E5-2640v4,2.40GHz,,
3,sh03-01n01,SH3_CBASE,normal*,normal,32,70,2240.0,250.0,7.81,AMD,RME,7502,2.50GHz,,
4,sh04-01n14,SH4_CPERF,normal*,normal,64,2,128.0,375.0,5.86,AMD,GEN,9384X,3.10GHz,,
5,sh04-01n17,SH4_CBASE,normal*,normal,24,34,816.0,187.5,7.81,AMD,SIE,8224P,2.55GHz,,
6,sh02-09n45,,bigmem,bigmem,24,4,96.0,375.0,15.62,INTEL,SKX,5118,2.30GHz,,
7,sh02-12n02,,bigmem,bigmem,32,1,32.0,500.0,15.62,INTEL,BDW,E5-2697Av4,2.60GHz,,
8,sh03-12n17,SH3_CBIGMEM,bigmem,bigmem,64,1,64.0,4000.0,62.5,AMD,RME,7502,2.50GHz,,
9,sh04-01n13,SH4_CSCALE,bigmem,bigmem,256,1,256.0,1500.0,5.86,AMD,BGM,9754,2.25GHz,,
10,sh04-01n16,SH4_CBIGMEM,bigmem,bigmem,64,1,64.0,4000.0,62.5,INTEL,SPR,8462Y+,2.80GHz,,
11,sh03-12n18,SH3_CPERF,bigmem,bigmem,128,2,256.0,1000.0,7.81,AMD,RME,7742,2.25GHz,,
12,sh02-12n01,,bigmem,bigmem,56,1,56.0,3000.0,53.57,INTEL,BDW,E5-4650v4,2.20GHz,,
13,sh02-01n57,,dev,dev,20,2,40.0,125.0,6.25,INTEL,BDW,E5-2640v4,2.40GHz,,
14,sh03-17n14,SH3_G8FP64m,dev,dev,32,2,64.0,250.0,7.81,AMD,MLN,7543P,2.75GHz,A30_MIG-1g.6gb,6GB
15,sh03-13n01,SH3_G4FP64,gpu,gpu,32,2,64.0,250.0,7.81,AMD,RME,7502P,2.50GHz,V100S_PCIE,32GB
16,sh04-01n01,SH4_G8TF64,gpu,gpu,64,1,64.0,2000.0,31.25,INTEL,SPR,8462Y+,2.80GHz,H100_SXM5,80GB
17,sh02-12n04,,gpu,gpu,20,1,20.0,250.0,12.5,INTEL,BDW,E5-2640v4,2.40GHz,P100_PCIE,16GB
18,sh02-13n10,,gpu,gpu,20,8,160.0,500.0,25.0,INTEL,BDW,E5-2640v4,2.40GHz,TITAN_Xp,12GB
19,sh02-13n12,,gpu,gpu,20,2,40.0,250.0,12.5,INTEL,BDW,E5-2640v4,2.40GHz,V100_SXM2,16GB
20,sh02-15n09,,gpu,gpu,24,1,24.0,186.5,7.77,INTEL,SKX,5118,2.30GHz,V100_SXM2,32GB
21,sh02-16n05,,gpu,gpu,24,2,48.0,186.5,7.77,INTEL,SKX,5118,2.30GHz,V100_PCIE,32GB
22,sh03-12n01,SH3_G4FP32,gpu,gpu,32,16,512.0,250.0,7.81,AMD,RME,7502P,2.50GHz,RTX_2080Ti,11GB
23,sh03-15n01,SH3_G4FP32.1,gpu,gpu,32,4,128.0,250.0,7.81,AMD,RME,7502P,2.50GHz,RTX_3090,24GB
24,sh04-01n09,SH4_G4FP32,gpu,gpu,32,8,256.0,250.0,7.81,INTEL,SPR,6426Y,2.50GHz,L40S,48GB
25,sh04-01n05,SH4_G4TF64,gpu,gpu,64,2,128.0,1000.0,15.62,INTEL,SPR,8462Y+,2.80GHz,H100_SXM5,80GB
26,sh02-02n10,,service,service,20,5,100.0,125.0,6.25,INTEL,BDW,E5-2640v4,2.40GHz,,
27,sh03-02n16,SH3_CBASE,service,service,32,1,32.0,250.0,7.81,AMD,RME,7502,2.50GHz,,
28,sh03-08n49,SH3_CBASE.1,serc,"serc,owners",32,96,3072.0,250.0,7.81,AMD,MLN,7543,2.75GHz,,
29,sh03-17n01,SH3_G8TF64.1,serc,"serc,owners",128,4,512.0,1000.0,7.81,AMD,MLN,7763,2.45GHz,A100_SXM4,80GB
30,sh03-18n11,SH3_G4TF64.1,serc,"serc,owners",64,2,128.0,500.0,7.81,AMD,MLN,7543,2.75GHz,A100_SXM4,80GB
